Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA fines. ,Dollar Amount,Outcome,Up is Better,Quarterly,290000,119350,92800,105700,286930,604780, > 100%,Fully Achieved,INVESTIGATIONS,0
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA licenses. ,Dollar Amount,Outcome,Up is Better,Quarterly,3700000,589976,920406,2031551,1123344,4665277, > 100%,Fully Achieved,LICENSING,1
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of establishments inspected to ensure compliance with underage drinking laws. ,Raw Number,Output,Up is Better,Quarterly,600,169,214,303,251,937, > 100%,Fully Achieved,INVESTIGATIONS,2
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,"Number of inspections, investigations, and monitoring activities conducted by Enforcement Division. ",Raw Number,Outcome,Up is Better,Quarterly,7000,2045,1455,1779,2025,7304, > 100%,Fully Achieved,INVESTIGATIONS,3
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of new licenses and permits issued. ,Raw Number,Output,Up is Better,Quarterly,850,367,364,418,357,1506, > 100%,Fully Achieved,LICENSING,4
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of one-day and substantial change permits issued within 15 days or less. ,Percentage,Output,Up is Better,Quarterly,80,95.45,93.8,90.74,90.13,92.58, > 100%,Fully Achieved,LICENSING,5
2011,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Total number of citations issued. ,Raw Number,Outcome,Up is Better,Quarterly,250,130,49,100,70,349, > 100%,Fully Achieved,INVESTIGATIONS,6
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",% of scheduled monitoring reports as defined in agency monitoring plan completed for each grant award,Percentage,Output,Up is Better,Annual,100,,,,100,100,100%,Fully Achieved,APIA PROGRAMS,7
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of API community members reached by outreach efforts.,Raw Number,Output,Up is Better,Quarterly,1150,2788,1095,1400,901,6184, > 100%,Fully Achieved,APIA PROGRAMS,8
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of DC agencies  who receive technical assistance through OAPIA efforts,Raw Number,Output,Up is Better,Annual,33,,,,33,33,100%,Fully Achieved,APIA PROGRAMS,9
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of DC agencies who receive technical assistance through OAPIA efforts ,Raw Number,Output,Up is Better,Annual,33,,,,,0,No Data,Not Rated Insufficient Data,APIA PROGRAMS,10
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of capacity building efforts provided to API community organizations and individuals.,Raw Number,Output,Up is Better,Quarterly,149,50,73,42,32,197, > 100%,Fully Achieved,APIA PROGRAMS,11
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percent of constituent issues/cases resolved.,Percentage,Output,Up is Better,Quarterly,95,,,,,0,No Data,Not Rated Insufficient Data,APIA PROGRAMS,12
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percent of constituent issues/cases resolved.,Percentage,Output,Up is Better,Quarterly,95,,,,,0,No Data,Not Rated Insufficient Data,APIA PROGRAMS,13
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percent of constituent issues/cases resolved.,Percentage,Output,Up is Better,Quarterly,95,100,100,100,100,100, > 100%,Fully Achieved,APIA PROGRAMS,14
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of DC agencies giving a satisfactory or above rating on OAPIA�s technical assistance efforts.,Percentage,Quality,Up is Better,Annual,90,,,,100,100, > 100%,Fully Achieved,APIA PROGRAMS,15
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of satisfactory or above rating on OAPIA services.,Percentage,Quality,Up is Better,Quarterly,90,100,100,100,100,100, > 100%,Fully Achieved,APIA PROGRAMS,16
2011,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Subgrantee�s % of budget spent on programmatic costs ,Percentage,Output,Up is Better,Annual,65,,,,100,100, > 100%,Fully Achieved,APIA PROGRAMS,17
2011,DL0,BOEE,"Elections and Ethics, Board of",# of poll worker focus groups conducted,Raw Number,Output,Up is Better,Annual,2,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,18
2011,DL0,BOEE,"Elections and Ethics, Board of",% of staff who completed customer service training.,Percentage,Output,Up is Better,Annual,50,,,,,0,No Data,Not Rated Insufficient Data,AGENCY MANAGEMENT PROGRAM,19
2011,DL0,BOEE,"Elections and Ethics, Board of",% of voters who register online,Percentage,Output,Up is Better,Annual,10,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,20
2011,DL0,BOEE,"Elections and Ethics, Board of",Create Dress Code Policy,Percentage,Output,Up is Better,Annual,100,,,,,0,No Data,Not Rated Insufficient Data,AGENCY MANAGEMENT PROGRAM,21
2011,DL0,BOEE,"Elections and Ethics, Board of",Develop open source registration system,Percentage,Output,Up is Better,Annual,50,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,22
2011,DL0,BOEE,"Elections and Ethics, Board of",Enhance overseas ballot delivery ,Percentage,Output,Up is Better,Annual,50,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,23
2011,DL0,BOEE,"Elections and Ethics, Board of",Expand Early Voting availability,Raw Number,Output,Up is Better,Annual,5,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,24
2011,DL0,BOEE,"Elections and Ethics, Board of",Increase in Voter Registration/Outreach Events,Percentage Change Over Time,Output,Up is Better,Annual,110,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,25
2011,DL0,BOEE,"Elections and Ethics, Board of",Increase poll worker recruitment efforts,Percentage Change Over Time,Output,Up is Better,Annual,115,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,26
2011,DL0,BOEE,"Elections and Ethics, Board of",Percentage of poll workers paid within 45 days of an election,Percentage,Output,Up is Better,Annual,100,,,,,0,No Data,Not Rated Insufficient Data,ELECTION OPERATIONS,27
