Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA fines. ,Dollar Amount,Outcome,Up is Better,Quarterly,385000,91710,52175,192800,152050,488735, > 100%,Fully Achieved,ALCHOLIC BEVERAGE REG. ADMINISTRATION,0
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA licenses. ,Dollar Amount,Outcome,Up is Better,Quarterly,3700000,526249,1279569,2607111,1136548,5549477, > 100%,Fully Achieved,ALCHOLIC BEVERAGE REG. ADMINISTRATION,1
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of establishments inspected to ensure compliance with underage drinking laws. ,Raw Number,Outcome,Up is Better,Quarterly,400,112,243,436,486,1277, > 100%,Fully Achieved,ALCHOLIC BEVERAGE REG. ADMINISTRATION,2
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,"Number of inspections, investigations, and monitoring activities conducted by Enforcement Division. ",Raw Number,Outcome,Up is Better,Quarterly,4000,1252,1688,4396,3930,11266, > 100%,Fully Achieved,,3
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,"Percentage of licenses issued within 90 days of the application being filed, excluding manager and solicitor applications. ",Percentage,Outcome,Up is Better,Quarterly,80,89.68,97.76,88.38,97.28,94.88, > 100%,Fully Achieved,ALCHOLIC BEVERAGE REG. ADMINISTRATION,4
2010,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Total number of citations issued. ,Raw Number,Outcome,Up is Better,Quarterly,110,38,89,236,140,503, > 100%,Fully Achieved,,5
2010,AP0,APIA,"Asian and Pacific Islander Affairs, Office of","Number of DC API residents, business owners and organizations in OAPIA Community Database.",Raw Number,Output,Up is Better,Quarterly,1100,300,1613,123,65,2101, > 100%,Fully Achieved,APIA PROGRAMS,6
2010,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of capacity building efforts provided to API community organizations and individuals.,Raw Number,Output,Up is Better,Quarterly,121,30,46,59,47,182, > 100%,Fully Achieved,APIA PROGRAMS,7
2010,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of DC agencies giving a satisfactory or above rating on OAPIAs technical assistance efforts,Percentage,Output,Up is Better,Annual,90,,,,100,100, > 100%,Fully Achieved,APIA PROGRAMS,8
2010,DL0,BOEE,"Elections and Ethics, Board of",# of poll worker focus groups conducted,Raw Number,Output,Up is Better,Annual,2,,,,5,5, > 100%,Fully Achieved,ELECTION OPERATIONS,9
