Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2009,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Issuance of new alcoholic beverage licenses,Raw Number,Demand,Up is Better,Quarterly,1500,298,345,547,488,1678, > 100%,Fully Achieved,LICENSING,0
2009,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of establishments inspected to ensure compliance with underage drinking laws. ,Raw Number,Output,Up is Better,Quarterly,1000,96,203,185,268,752,75.20%,Partially Achieved,INVESTIGATIONS,1
2009,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of regulatory inspections and investigations performed. ,Raw Number,Output,Up is Better,Quarterly,7000,1168,2642,2112,842,6764,96.63%,Partially Achieved,INVESTIGATIONS,2
2009,AP0,APIA,"Asian and Pacific Islander Affairs, Office of","Number of DC API residents, business owners and organizations in OAPIA Community Database",Raw Number,Output,Up is Better,Quarterly,800,674,172,117,150,1113, > 100%,Fully Achieved,APIA PROGRAMS,3
2009,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of capacity building efforts provided to API community organizations and individuals,Raw Number,Output,Up is Better,Annual,110,,,,115,115, > 100%,Fully Achieved,APIA PROGRAMS,4
2009,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of DC agencies giving a satisfactory or above rating on OAPIA�s technical assistance efforts,Percentage,Efficiency,Up is Better,Semi-annual,85,,,,100,100, > 100%,Fully Achieved,APIA PROGRAMS,5
2009,AF0,CAB,Contract Appeals Board,Percent of protests resolved within 60 business days.,Percentage,Output,Up is Better,Annual,90,,,,,N/A,No Data,Not Rated Insufficient Data,CONTRACT APPEALS BOARD,6
2009,AF0,CAB,Contract Appeals Board,Percentage of appeals cases decided within 4 months of the cases being ready for decision.,Percentage,Output,Up is Better,Annual,90,,,,,N/A,No Data,Not Rated Insufficient Data,CONTRACT APPEALS BOARD,7
2009,AF0,CAB,Contract Appeals Board,Percentage of cases closed by the Board which are electronically archived to permit web-based retrieval and full-text searching capability,Percentage,Output,Up is Better,Annual,93,,,,,N/A,No Data,Not Rated Insufficient Data,CONTRACT APPEALS BOARD,8
2009,AF0,CAB,Contract Appeals Board,Percentage of decisions sustained on appeal.,Percentage,Output,Up is Better,Annual,100,,,,,N/A,No Data,Not Rated Insufficient Data,CONTRACT APPEALS BOARD,9
2009,AF0,CAB,Contract Appeals Board,Percentage of new cases using electronic filing system.,Percentage,Output,Up is Better,Annual,100,,,,,N/A,No Data,Not Rated Insufficient Data,CONTRACT APPEALS BOARD,10
2009,BX0,CAH,"Arts and Humanities, Commission on the",Attendees at Events,Raw Number,Outcome,Up is Better,Annual,52000,,,,23770,23770,46%,Not Achieved,ARTS BUILDING COMMUNITIES,11
2009,BX0,CAH,"Arts and Humanities, Commission on the",Grant Payments Processed,Percentage,Outcome,Up is Better,Annual,95,,,,86.900000,86.900000,91.48%,Partially Achieved,ARTS BUILDING COMMUNITIES,12
2009,BX0,CAH,"Arts and Humanities, Commission on the",Investments from Private Sources,Ratio,Outcome,Up is Better,Annual,3,,,,2.630000,2.630000,87.56%,Partially Achieved,ARTS BUILDING COMMUNITIES,13
2009,BX0,CAH,"Arts and Humanities, Commission on the",New Applicants,Percentage,Outcome,Up is Better,Annual,6,,,,56.580000,56.580000, > 100%,Fully Achieved,ARTS BUILDING COMMUNITIES,14
2009,BX0,CAH,"Arts and Humanities, Commission on the",Percent of DCPS and Charter Schools Served,Percentage,Outcome,Up is Better,Annual,71,,,,56.450000,56.450000,79.51%,Partially Achieved,ARTS LEARNING AND OUTREACH,15
2009,RL0,CFSA,Child and Family Services Agency,Average caseload per worker,Raw Number,Input,Down is Better,Quarterly,15,12,10,10,10,42,36%,Not Achieved,CHILD WELFARE PROGRAM,16
2009,RL0,CFSA,Child and Family Services Agency,Percent of CFSA children in foster care,Percentage,Input,Neutral,Quarterly,0,48.730000,49.150000,49.660000,51.580000,49.740000,Not Rated W,Workload Measure,CHILD WELFARE PROGRAM,17
2009,RL0,CFSA,Child and Family Services Agency,Percent of Investigations Closed Within 30 days,Percentage,Input,Up is Better,Quarterly,90,34.530000,75.460000,61.290000,82.630000,58.460000,64.95%,Not Achieved,CHILD WELFARE PROGRAM,18
2009,RL0,CFSA,Child and Family Services Agency,Percent of Investigations attempted or initiated within 24 hours of being accepted,Percentage,Input,Up is Better,Quarterly,65,65.830000,65.760000,60.330000,67.930000,64.770000,99.64%,Partially Achieved,CHILD WELFARE PROGRAM,19
2009,RL0,CFSA,Child and Family Services Agency,Percent of children in foster care placed with kin,Percentage,Input,Up is Better,Quarterly,20,15.580000,15.900000,16.130000,15.200000,15.700000,78.52%,Partially Achieved,CHILD WELFARE PROGRAM,20
2009,RL0,CFSA,Child and Family Services Agency,Percent of children in foster care receiving at least 2 visits per month from the social worker,Percentage,Input,Up is Better,Quarterly,80,87.050000,89.740000,90.910000,89.050000,89.180000, > 100%,Fully Achieved,OUT OF HOME CARE AND SUPPORT,21
