Fiscal_Year,Agency_Budget_Code,Agency_Acronym,Agency_Full_Name_,Measure_Name,Data_Type_Formula,Measure_Type,Directionality,Frequency,YE_Target,Q1_Actual,Q2_Actual,Q3_Actual,Q4_Actual,YE_Actual,YE_Rating_%,Rating,Budget_Program,OBJECTID
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of fines collected annually. ,Raw Number,Output,Up is Better,Quarterly,290000,96350,62450,62650,351550,573000, > 100%,Fully Achieved,INVESTIGATIONS,0
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Amount of revenue generated by ABRA licenses. ,Dollar Amount,Outcome,Up is Better,Quarterly,3700000,547551,2136174,718479,796186,4198390, > 100%,Fully Achieved,LICENSING,1
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of establishments inspected to ensure compliance with underage drinking laws. ,Raw Number,Output,Up is Better,Quarterly,700,192,263,368,233,1056, > 100%,Fully Achieved,INVESTIGATIONS,2
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,"Number of inspections, investigations, and monitoring activities conducted by the Enforcement Division. ",Raw Number,Output,Up is Better,Quarterly,7000,2150,1711,2596,2132,8589, > 100%,Fully Achieved,INVESTIGATIONS,3
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of new licenses and permit issued. ,Raw Number,Output,Up is Better,Quarterly,1000,411,498,503,506,1918, > 100%,Fully Achieved,LICENSING,4
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Number of one-day and substantial change permits issued within 15 days or less. ,Percentage,Output,Up is Better,Quarterly,90,100,88.46,93.79,99.34,96.67, > 100%,Fully Achieved,LICENSING,5
2012,LQ0,ABRA,Alcoholic Beverage Regulation Administration,Total number of citations issued. ,Raw Number,Output,Up is Better,Quarterly,250,86,55,96,193,430, > 100%,Fully Achieved,INVESTIGATIONS,6
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",% of scheduled monitoring visits as defined in agency monitoring plan completed for each grant award,Percentage,Output,Up is Better,Quarterly,100,,,100,100,100,100%,Fully Achieved,APIA PROGRAMS,7
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of AAPI community members reached by outreach efforts. ,Raw Number,Output,Up is Better,Quarterly,2357,6284,9210,14959,6573,37026, > 100%,Fully Achieved,APIA PROGRAMS,8
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of DC agencies who receive technical assistance through OAPIA efforts,Raw Number,Output,Up is Better,Quarterly,33,33,0,0,0,33,100%,Fully Achieved,APIA PROGRAMS,9
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Number of capacity building efforts provided to API community organizations and individuals.,Raw Number,Output,Up is Better,Quarterly,164,16,85,82,71,254, > 100%,Fully Achieved,APIA PROGRAMS,10
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percent of constituent issues/cases resolved,Percentage,Output,Up is Better,Quarterly,95,100,100,100,100,100, > 100%,Fully Achieved,APIA PROGRAMS,11
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of DC agencies giving a satisfactory or above rating on OAPIA�s technical assistance efforts.,Percentage,Quality,Up is Better,Annual,90,,,,100,100, > 100%,Fully Achieved,APIA PROGRAMS,12
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Percentage of satisfactory or above rating on OAPIA services.,Percentage,Quality,Up is Better,Quarterly,90,100,100,100,,100, > 100%,Fully Achieved,APIA PROGRAMS,13
2012,AP0,APIA,"Asian and Pacific Islander Affairs, Office of",Subgrantee�s % of budget spent on programmatic costs ,Percentage,Output,Up is Better,Quarterly,65,100,100,100,100,100, > 100%,Fully Achieved,APIA PROGRAMS,14
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of absentee ballots requested by deadline,Raw Number,Demand,Neutral,Annual,0,,,,6368,6368,Not Rated W,Workload Measure,AGENCY MANAGEMENT PROGRAM,15
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of early voting centers opened,Raw Number,Outcome,Up is Better,Annual,8,,,,8,8,100%,Fully Achieved,AGENCY MANAGEMENT PROGRAM,16
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of polling places opened at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,141,141,98.60%,Partially Achieved,AGENCY MANAGEMENT PROGRAM,17
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of polling places with electronic voting machine (DRE) zero tapes printed at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,123,123,86.01%,Partially Achieved,AGENCY MANAGEMENT PROGRAM,18
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of polling places with optical scan machine zero tapes printed at 7 AM on Election Day,Raw Number,Outcome,Up is Better,Annual,143,,,,124,124,86.71%,Partially Achieved,AGENCY MANAGEMENT PROGRAM,19
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of polling places with voting data returned to headquarters by midnight on Election Night,Raw Number,Outcome,Up is Better,Annual,143,,,,143,143,100.00%,Fully Achieved,AGENCY MANAGEMENT PROGRAM,20
2012,DL0,BOEE,"Elections and Ethics, Board of",Number of special ballots processed,Raw Number,Demand,Neutral,Annual,0,,,,3945,3945,Not Rated W,Workload Measure,AGENCY MANAGEMENT PROGRAM,21
2012,DL0,BOEE,"Elections and Ethics, Board of","Number of voter education, registration, or absentee voting events",Raw Number,Outcome,Up is Better,Annual,120,,,,78,78,65.00%,Not Achieved,AGENCY MANAGEMENT PROGRAM,22
